DirectorID,First,Middle,Last,URL,YOB,CountryID
90,Jennifer,,Lee,https://www.imdb.com/name/nm1601644/,1971,23
91,Jennifer,Yuh,Nelson,https://www.imdb.com/name/nm0950775/,1972,19
92,Joe,,Johnston,https://www.imdb.com/name/nm0002653/,1950,23
93,Joe,,Russo,https://www.imdb.com/name/nm0751648/,1971,23
94,Joel,,Coen,https://www.imdb.com/name/nm0001054/,,
95,Joel,,Zwick,https://www.imdb.com/name/nm0959034/,1942,23
96,John,,Lasseter,https://www.imdb.com/name/nm0005124/,1957,23
97,John,Lee,Hancock,https://www.imdb.com/name/nm0359387/,,
98,John,,Musker,https://www.imdb.com/name/nm0615780/,1953,23
99,John,,Stevenson,https://www.imdb.com/name/nm0828970/,1958,22
100,John,,Woo,https://www.imdb.com/name/nm0000247/,1946,5
101,Jon,,Favreau,https://www.imdb.com/name/nm0269463/,1966,23
102,Jonathan,,Mostow,https://www.imdb.com/name/nm0609236/,,
103,Jordan,,Peele,https://www.imdb.com/name/nm1443502/,1979,23
104,Jordan,,Vogt-Roberts,https://www.imdb.com/name/nm3611349/,1984,23
105,Josh,,Boone,https://www.imdb.com/name/nm1837748/,,
106,Joss,,Whedon,https://www.imdb.com/name/nm0923736/,1964,23
107,Judd,,Apatow,https://www.imdb.com/name/nm0031976/,1967,23
108,Justin,,Lin,https://www.imdb.com/name/nm0510912/,1971,21
109,Kelly,,Asbury,https://www.imdb.com/name/nm0038432/,1960,23
110,Kenneth,,Branagh,https://www.imdb.com/name/nm0000110/,1960,22
111,Kevin,,Lima,https://www.imdb.com/name/nm0510674/,1962,23
112,Kirk,,DeMicco,https://www.imdb.com/name/nm0210320/,,
113,Lana,,Wachowski,https://www.imdb.com/name/nm0905154/,,
114,Larry,,Charles,https://www.imdb.com/name/nm0153078/,1956,23
115,Larry,,Clark,https://www.imdb.com/name/nm0164187/,1943,23
116,Lasse,,Hallström,https://www.imdb.com/name/nm0002120/,1946,20
117,Lee,,Tamahori,https://www.imdb.com/name/nm0848414/,1950,16
118,Lee,,Unkrich,https://www.imdb.com/name/nm0881279/,1967,23
119,Len,,Wiseman,https://www.imdb.com/name/nm0936482/,1973,23
120,Lilly,,Wachowski,https://www.imdb.com/name/nm0905152/,,
121,Louis,,Leterrier,https://www.imdb.com/name/nm0504642/,1973,8
122,M.,Night,Shyamalan,https://www.imdb.com/name/nm0796117/,1970,10
123,Marc,,Forster,https://www.imdb.com/name/nm0286975/,1969,9
124,Marc,,Webb,https://www.imdb.com/name/nm1989536/,,
125,Mark,,Andrews,https://www.imdb.com/name/nm0028764/,1968,23
126,Mark,,Osborne,https://www.imdb.com/name/nm0651706/,1970,23
127,Mark,,Waters,https://www.imdb.com/name/nm0914132/,1964,23
128,Martin,,Campbell,https://www.imdb.com/name/nm0132709/,1943,16
129,Martin,,Scorsese,https://www.imdb.com/name/nm0000217/,1942,23
130,Martin,,Zandvliet,https://www.imdb.com/name/nm1324710/,1971,6
131,Matt,,Reeves,https://www.imdb.com/name/nm0716257/,1966,23
132,Matthew,,Vaughn,https://www.imdb.com/name/nm0891216/,1971,22
133,McG,,,https://www.imdb.com/name/nm0629334/,1968,23
